	baseMean	log2FoldChange	lfcSE	pvalue	padj
RP11-474D1.3	428.3580643057995	9.17813383353444	0.5939081417786334	1.3649298229958922e-54	2.2623711816156913e-50
CDH3	1514.5089854221242	7.240485875474821	0.530773235080589	9.23112531925426e-44	7.650295108331968e-40
MMP11	3691.5917895906055	5.176799690514812	0.4059118901141364	1.8426636827758314e-38	1.0180716847336468e-34
WNT2	200.40936938895118	5.736149304433175	0.4633396147052051	1.8357789492984335e-36	7.607009021155383e-33
ATG9B	165.54927143665103	4.310813539908206	0.3492750000877674	2.8972427264036953e-36	9.60435963802825e-33
CEMIP	2198.3047669806974	5.345004338628647	0.4487914440982133	6.1046109787189004e-34	1.686398782871096e-30
SPTBN2	784.826206367567	3.1624755265332904	0.26688081029488964	1.5030936138808676e-33	3.559110950010768e-30
GYLTL1B	1236.554808912086	5.805921083057612	0.49353836271133106	3.394461091322091e-33	7.032899073582958e-30
C2CD4A	543.9411211763911	5.45321402025243	0.47270894463984353	5.122208573041297e-32	9.433400788684389e-29
TRIB3	2446.8369221538455	4.814900730629536	0.427637640956252	1.258391343428891e-30	2.0857836517333867e-27
TGFBI	27398.632181553934	3.906827094798993	0.3594021026546454	1.2063181754650042e-28	1.817702159848404e-25
FOXQ1	1984.19606863464	7.472499916040389	0.6967007799417556	4.172236722986024e-28	5.762901973624446e-25
CLDN1	2217.1982955966278	5.492677211818298	0.5359012301081739	6.951674244839586e-26	8.863384662170472e-23
TG	174.69304879400556	5.328778731402105	0.5322861940986376	6.7219074037798235e-25	7.958258229832183e-22
COMP	581.7598672558199	7.568780526697608	0.7694360239072258	2.9973406806815573e-24	3.312061452153121e-21
RNF43	6090.758529711871	2.3362222978922014	0.23725008625893793	8.124261668784199e-24	8.41622732250613e-21
VWA2	435.16130158145916	4.132827139377278	0.4248703991734095	1.3517538876000326e-23	1.3179600404100317e-20
GRIN2D	908.3472599420943	5.093055448460452	0.5266104260452724	2.257888310033425e-23	2.0791388188224457e-20
PLAU	1587.336843500252	2.4285022050216667	0.25127882533375084	4.324770906031782e-23	3.772793566709305e-20
MAFG-AS1	122.13430901844245	3.3786733895221843	0.3608746894679804	5.161518929725128e-22	4.2776088130097e-19
INHBA	511.3988570307569	5.324532272229237	0.5744257349728988	9.789777670410843e-22	7.726931661288559e-19
KRT80	682.2824337400197	5.932870293450918	0.6420494507619957	1.3683573106652504e-21	1.0309328374671148e-18
ESM1	69.6477878698523	4.562570138627172	0.4974700474346016	2.6999976686897687e-21	1.9457591895014313e-18
COL11A1	731.0634680399573	6.513044476052324	0.7126537451695267	3.3124025356320378e-21	2.2876280011708763e-18
KLK10	737.470876087277	4.308770061175224	0.47011240688621314	4.076339095093011e-21	2.7026128200466665e-18
TDGF1	609.0367480471441	3.646036508098726	0.3996070204842659	4.843805239255091e-21	3.087925840025121e-18
HILPDA	551.044851604739	2.4654970062823662	0.27226467449163033	1.2869688241910102e-20	7.900558615172591e-18
SPIB	774.7683753283477	-5.394366036235544	0.5969103793680469	1.9731666535918102e-20	1.1680441886887233e-17
AJUBA	410.3441965893804	3.0719409918514007	0.34423889119426854	3.6225722187509847e-20	2.0704873974412956e-17
POU5F1B	141.55337770356147	5.016121462983494	0.5703726883317182	6.767989978539835e-20	3.739314463143259e-17
ETV4	2048.247604884037	5.002739405941136	0.5714428230983231	1.1827968395058117e-19	6.324147617680267e-17
MMP3	520.3582527912121	5.47151200866203	0.6379161592806905	4.45193554901649e-19	2.305963491404635e-16
EGFL6	56.303097155268155	3.4708768533261845	0.4025114878295945	5.085596859989383e-19	2.5543566046764854e-16
STRA6	104.42419142502084	4.938500538380334	0.579463803638278	7.927139325018232e-19	3.864480420946388e-16
FAM107A	688.7641317288173	-3.5514343856703445	0.4126656191479846	8.423128557493059e-19	3.9889530240127844e-16
ITM2A	487.0206913867113	-2.203283155753839	0.25886027779131465	1.2015505569931182e-18	5.532139022822482e-16
FGL2	2433.96445601586	-2.7397122243277794	0.3209829495104698	1.3195746006854961e-18	5.911337569287054e-16
DDN	77.17438067768477	4.757954929290715	0.5634327025027013	1.9536882505862544e-18	8.521679671965044e-16
COL10A1	498.2008061086758	7.541733226340013	0.8999131518756263	2.06656243335831e-18	8.782890341772818e-16
PLEKHG4	1270.363671049765	2.697309364437087	0.31847930820062853	2.2129241586192807e-18	9.169804482278645e-16
MDFI	252.80815933576827	3.8036122655870637	0.4529593253770424	2.376647450922739e-18	9.608032072937659e-16
PRKCB	546.3270320794387	-2.849133788526451	0.3375030818637401	2.750565289983586e-18	1.0854909447970938e-15
MMP1	1022.6128631462275	4.387550111455559	0.5254500932147806	4.132940510970188e-18	1.5931043946356015e-15
ABCG2	2736.3069272184143	-6.359479358630812	0.7729304698507442	9.7492939644463e-18	3.6726033513794865e-15
CTHRC1	558.4298866553781	4.092781101720639	0.4970111996963912	1.164842055333192e-17	4.290501570477257e-15
RHPN1	664.3053860525279	3.99910141172146	0.4874870720627928	1.4059264659793862e-17	5.065919820349637e-15
SALL4	41.527842567224404	4.666587652775007	0.5643727839119225	1.6912936680216282e-17	5.964509052650742e-15
TNS4	3128.7243127017337	4.093211461288472	0.5033992650209951	2.735839577032606e-17	9.447196039440717e-15
ADAMTS12	469.02497070360175	3.6619846463901857	0.4513464406559954	3.412490077572825e-17	1.1543270007299912e-14
KRT23	856.0247985317834	7.512171836791223	0.9394259234663456	5.76430104196024e-17	1.9108657954098196e-14
ASCL2	4261.175930608128	4.750847492690366	0.5948485829599184	8.088555156449566e-17	2.6287804258461092e-14
ATP6V1C2	195.40329029490078	3.1150121622265274	0.388838673771183	9.126348122472708e-17	2.909023464038176e-14
BEST4	1425.5683799655114	-4.588115355977946	0.5841780861643809	1.1430563662755842e-16	3.574747032267511e-14
GRIN2B	92.62818903044513	3.7910759598933663	0.4770750580209634	1.347727032700198e-16	4.136773253149219e-14
KLF4	7960.391095099875	-2.674409491517725	0.3364890562101253	1.4919022455217601e-16	4.4960508580951226e-14
MAPK15	158.078073438383	4.928683478099819	0.6290392396678027	2.5528627521462803e-16	7.556017878004392e-14
SLCO4A1	2169.527723957014	4.081794704219095	0.5229070970661467	3.5738271028056233e-16	1.0392313022632141e-13
KIAA0226L	2847.059922456497	2.5827533072850244	0.3288263599230219	4.086536684752361e-16	1.1678335439615585e-13
IL6R	1635.2980661307279	-2.8842571279682034	0.36946010347662034	4.615031633818529e-16	1.296511005602409e-13
PPAP2A	1785.5916564812517	-1.6138711007006197	0.2045209789978058	4.981390925645528e-16	1.376109243209577e-13
GLP2R	204.4918189674629	-3.366238173638159	0.42842675829877214	6.43609751952782e-16	1.7488248587897316e-13
GAS6-AS1	335.72579458452003	3.941945123635654	0.5149006786608642	1.1569521564788363e-15	3.0929809667155983e-13
CCNO	228.1398067234188	3.782766428072698	0.5019925988609683	3.0684206165528425e-15	8.072868526883073e-13
OSM	88.04857557080048	3.3299447370405333	0.439915727820699	3.1848729245001634e-15	8.24832323806097e-13
KIAA1257	119.84882417492791	3.9462822761785543	0.5254349052497179	3.301188127811276e-15	8.418029725918754e-13
ADAM12	386.3465310974353	4.62956957878982	0.6168589949475644	3.5269104292412774e-15	8.857354600708208e-13
PABPC1L	348.6921152054369	2.8399712865429416	0.3783701017088007	4.9817070685721215e-15	1.2324148456952674e-12
SGK1	7335.93861975936	-3.64774947935658	0.4880724793859403	5.735542532166669e-15	1.3980384922156257e-12
CYP27B1	104.50998337794968	2.8053435714410937	0.3785530197576705	7.984998839187818e-15	1.918135590717943e-12
MFAP2	482.7631898347636	2.8302589613081093	0.381514725990552	9.18291003706703e-15	2.1743819123483717e-12
TRIM29	2029.2202000276573	4.870158520863366	0.6592221422871402	9.47881633358841e-15	2.2128363482989843e-12
IL11	66.66053209733543	5.147605389661254	0.6997335650397984	9.690091886016319e-15	2.2307399029266734e-12
GCNT2	443.81249074982895	-4.271569729887911	0.5759161566830651	1.1375199693709611e-14	2.5827936290854356e-12
ZZEF1	5360.913819272979	-2.0103476979404786	0.27112097996216566	1.3645666612059787e-14	3.056444920201229e-12
KLK6	163.53686672000651	8.987636336249778	1.2312552298608188	2.3741451561951906e-14	5.2468607951913715e-12
PDK4	2974.11522806964	-3.687688724201633	0.5078085736576698	2.5281411340760502e-14	5.513676223330333e-12
CLDN16	19.944674529054108	4.610207476100331	0.6319258759016657	3.012449697267009e-14	6.401455606692394e-12
UGT1A10	866.6790766265549	-3.767669007314366	0.522081619584932	2.9976830128520693e-14	6.401455606692394e-12
LINC00460	25.529993910458035	8.101539619292291	1.4010686522497542	3.559685136654394e-14	7.468579891145137e-12
EPB41L3	2108.887748662696	-3.258299288434209	0.45126116545275663	3.7083671041843006e-14	7.683273093981848e-12
ACSL6	584.6267417282512	4.46170054498978	0.6224030536735201	4.336613608580909e-14	8.87399636570723e-12
FJX1	134.10059026890497	3.46631174810777	0.4848717418993913	4.874988433988057e-14	9.854016255286835e-12
RNF152	1052.7124470457477	-3.4958494013272015	0.48632577474513994	5.5796480868990634e-14	1.1142490004861684e-11
RP11-345P4.9	172.31898214105271	-1.7484194944730018	0.24097764527673685	5.764011664884029e-14	1.137363016017295e-11
NANOS3	76.26124039705847	4.383038807348505	0.6175045046744458	6.039377127680396e-14	1.1776785398976772e-11
TESC	1894.2149639770007	5.422351673274438	0.7659034492761456	7.437145208369762e-14	1.4333800212642884e-11
SLC51A	1409.4052300768842	-4.643315836961573	0.6587578723200982	7.9160303367664e-14	1.5081402624356675e-11
CST1	982.8109034019147	9.251633086117824	1.3223922080260355	8.552610000345128e-14	1.6109035313150057e-11
CPNE7	524.0554171360368	4.978903847826891	0.7048993786620797	8.731463079048915e-14	1.6261123655644465e-11
CELSR1	758.845168811491	2.934198063313471	0.4142892794558092	1.0764266588370675e-13	1.9824190966915992e-11
RP11-353N14.5	40.488597535536464	2.9919005934690817	0.42524329726423615	1.252625013497454e-13	2.2815669888703624e-11
CDC25B	4241.313498904842	2.7712220402050827	0.39296359533226594	1.4403205916007602e-13	2.594925413672022e-11
CCNE1	310.73212253714286	2.253550059206013	0.31843145748399804	1.4595252665871853e-13	2.601250676740064e-11
POLR1C	889.5759857689573	1.4798000685172814	0.20685427708695622	1.646498685874003e-13	2.9032676296129363e-11
C2orf70	98.98890076706513	3.950674646172718	0.5697966717464994	2.232474371635272e-13	3.8950802852478564e-11
RP11-353N14.4	87.28346602290554	4.07131474106434	0.5884158920829856	2.358515827567779e-13	4.030144313601643e-11
NFE2L3	2880.7694420199055	3.0642648640063057	0.4388434720112879	2.348450629197285e-13	4.030144313601643e-11
GINS1	596.7368964388753	2.0300231745186377	0.2891471643104465	2.633675388329748e-13	4.4544050573026094e-11
CLEC3B	940.4542847701981	-3.6250824789253455	0.5249363518739254	2.8373528511817055e-13	4.750416515993613e-11
LEF1	249.78324042153898	2.3758616437753726	0.34044889752169044	3.047262295802941e-13	5.0508372552933746e-11
SLC25A34	457.9477468009932	-4.327886580841286	0.631501044585513	3.116040944881942e-13	5.113700857566157e-11
COL7A1	546.552311411033	2.7602095902876442	0.39795359845295963	3.372852039532975e-13	5.4808845642410844e-11
SPP1	4494.679267271611	4.973455547936722	0.7250951113453721	3.7055589930699e-13	5.963071874770252e-11
RNF183	92.21810834749627	3.872106539921646	0.5653056230740857	3.8478427503231936e-13	6.09406750234688e-11
KRT6B	71.21953733911069	5.895224689228872	0.8654458169989022	3.8604952503554896e-13	6.09406750234688e-11
ELFN1-AS1	255.4955056886017	5.728684772391822	0.8397174894298267	4.0550569678457144e-13	6.340808419060635e-11
CXCL3	754.7020536008309	3.7737021245969733	0.5528375881752794	5.225049526656277e-13	8.09394354246054e-11
MTHFD1L	978.682260264131	2.6286708680565756	0.3827143258406292	5.349913202264199e-13	8.135303791516432e-11
SIM2	236.2807607370285	3.8654153698313545	0.5661097123533836	5.318814565196704e-13	8.135303791516432e-11
